issuer,pd_now,feature,lime,lime_sd,lime_lo,lime_hi,shap,value,median,pct_of_median,sd_from_median,percentile,shap_share,shap_pct_of_pd,lime_share,dir_lime,dir_shap,agree,lime_stable
A,0.21942209845421334,amihud_monthly,0.002541629821673182,0.0006494478530666766,0.0016658110808167393,0.0033928378292609114,0.06055347126904672,0.0004506186523940414,5.8494727284141845e-08,770257.7284925746,0.1445222356690883,95.55516307547391,18.287745604207057,27.596797084539034,11.154393483802545,เพิ่ม,เพิ่ม,True,True
A,0.21942209845421334,Policyrate,0.002256190083600868,0.0005709277535793067,0.0015294756317714199,0.0030433547175447925,0.042475178997704754,1.25,1.75,-28.571428571428573,-0.7367359792229834,21.641351701401152,12.827923019505727,19.357748967371222,9.901690542082997,เพิ่ม,เพิ่ม,True,True
A,0.21942209845421334,REtoTA,0.0014336288988661754,0.0005663832135787388,0.00045045357603228027,0.0023630746668946248,0.03158378371503409,-0.01132,0.140905,-108.03378162591817,-0.7056145639071477,12.451430589897562,9.538614214741024,14.394076046822905,6.291734819658619,เพิ่ม,เพิ่ม,True,True
A,0.21942209845421334,TDTA,0.001234324526085706,0.0005693814448861555,0.000320782416427235,0.002181024721919844,0.026466878038849524,0.7436888217926025,0.451042503118515,64.882204371146,1.873161527491231,98.40456846815025,7.993258228937773,12.062084095131535,5.417052213215042,เพิ่ม,เพิ่ม,True,True
A,0.21942209845421334,ROE,0.0019021577321648095,0.000500003431708227,0.001129081538524244,0.002688070619348014,0.02548374741945939,-49.4545934464768,6.907923791269745,-815.9111035500661,-0.8513277650807863,2.307782880018839,7.696343084581651,11.614029579968248,8.347956744879601,เพิ่ม,เพิ่ม,True,True
A,0.21942209845421334,ROA,0.0011282713088440562,0.000555153238428897,0.0006603725464287091,0.002090182641966085,0.023271785738676592,-6.93518531883288,2.2207634517766204,-412.2883399978823,-1.404897394818422,3.8973272106440597,7.02830883887049,10.60594438874747,4.951618850240965,เพิ่ม,เพิ่ม,True,True
A,0.21942209845421334,DE,0.0011973531775140327,0.0005102413040510575,0.0006246658184924025,0.002236926556146122,0.020810529250541276,6.258387565612793,1.1790120005607605,430.8162735100393,2.9631687774081326,98.12787001059696,6.284985102370994,9.48424493118399,5.254796889454408,เพิ่ม,เพิ่ม,True,True
A,0.21942209845421334,QuickRatio,0.0003355354390384307,0.00027959472065477677,1.0112689300257974e-05,0.0009196859951552793,-0.01678327649282059,0.06298,0.65411,-90.3716500282827,-0.715652325131542,2.2960084775697633,-5.0687150459475765,-7.648854245336071,1.4725568148752841,เพิ่ม,ลด,False,True
A,0.21942209845421334,GovernancePillarScore,-0.00021909508923119078,0.00025041719868596743,-0.0004944407067639954,0.00020085079340917105,-0.015745876104842182,39.747685876381,58.909483916512,-32.527526581776854,-1.0037894675557757,19.851642529141646,-4.755409896177366,-7.1760666841529925,-0.9615376774438003,ลด,ลด,True,False
A,0.21942209845421334,acc_DebtServiceCoverageRatio,0.0006773507789983504,0.0004230393231006165,0.00023898004645876893,0.001435149789995152,0.014737806016218973,0.009476410551062,0.221374498397075,-95.71928536499071,-0.24870791880712237,2.401978099611445,4.450962786117544,6.71664619017136,2.9726740893109103,เพิ่ม,เพิ่ม,True,True
A,0.21942209845421334,CashRatio,0.0010784530851081187,0.00043796043421781523,0.0006306060210067199,0.0019437596184977742,0.012203417129245157,0.00912,0.14974,-93.90944303459331,-0.304114470895779,2.7669845755327915,3.6855523438131645,5.561617182232735,4.732982735148115,เพิ่ม,เพิ่ม,True,True
A,0.21942209845421334,cf_Interestcoverageratio,-0.00013359417301665304,0.00019335114815413758,-0.000446651196350318,0.00013156485312134042,-0.009008333769279491,-0.928012672776956,2.65688592439118,-134.92858553908778,-0.049095170276329175,14.559048628282115,-2.7206056537766594,-4.105481550282072,-0.5863017345263737,ลด,ลด,True,False
